CardId,Date,Summa,CardId,ClientId,CardNumber,ClientId,FIO
7,"2015-01-28 13:25:00",34,7,1,1234567890123451,1,"Иванов Иван Иванович"
7,"2012-11-19 08:18:00",23,7,1,1234567890123451,1,"Иванов Иван Иванович"
7,"2012-04-16 06:40:00",2,7,1,1234567890123451,1,"Иванов Иван Иванович"
7,"2015-06-19 12:51:00",34,7,1,1234567890123451,1,"Иванов Иван Иванович"
7,"2012-06-19 15:13:00",6,7,1,1234567890123451,1,"Иванов Иван Иванович"
5,"2015-06-08 14:54:00",5367,5,1,1234567890123456,1,"Иванов Иван Иванович"
5,"2015-01-28 13:26:00",123,5,1,1234567890123456,1,"Иванов Иван Иванович"
5,"2013-12-06 14:35:00",2,5,1,1234567890123456,1,"Иванов Иван Иванович"
0,"2012-12-17 16:48:00",224,0,1,1234567890123411,1,"Иванов Иван Иванович"
0,"2012-05-24 10:06:00",56,0,1,1234567890123411,1,"Иванов Иван Иванович"
0,"2014-04-19 11:55:00",345,0,1,1234567890123411,1,"Иванов Иван Иванович"
3,"2012-04-28 14:03:00",5,3,1,1234567890123452,1,"Иванов Иван Иванович"
3,"2014-04-30 13:58:00",45,3,1,1234567890123452,1,"Иванов Иван Иванович"
3,"2014-04-11 06:24:00",3456,3,1,1234567890123452,1,"Иванов Иван Иванович"
1,"2014-07-30 10:23:00",155,1,2,1234567890123450,2,"Петров Петр Петрович"
1,"2014-07-30 10:23:00",2,1,2,1234567890123450,2,"Петров Петр Петрович"
1,"2012-06-06 07:42:00",67,1,2,1234567890123450,2,"Петров Петр Петрович"
2,"2015-07-05 12:40:00",123,2,2,1234567890123458,2,"Петров Петр Петрович"
2,"2014-07-30 10:24:00",56,2,2,1234567890123458,2,"Петров Петр Петрович"
2,"2012-06-20 13:21:00",56,2,2,1234567890123458,2,"Петров Петр Петрович"
2,"2014-04-11 10:36:00",3,2,2,1234567890123458,2,"Петров Петр Петрович"
2,"2015-01-28 13:26:00",43563,2,2,1234567890123458,2,"Петров Петр Петрович"
9,"2012-05-24 06:00:00",34,9,3,1234567890123453,3,"Сидоров Сидор Сидорович"
9,"2012-11-08 15:15:00",34,9,3,1234567890123453,3,"Сидоров Сидор Сидорович"
6,"2014-07-30 10:23:00",34,6,3,1234567890123459,3,"Сидоров Сидор Сидорович"
6,"2012-05-24 10:34:00",6,6,3,1234567890123459,3,"Сидоров Сидор Сидорович"
4,"2015-06-24 09:57:00",2,4,3,1234567890123434,3,"Сидоров Сидор Сидорович"
4,"2014-07-30 10:24:00",4,4,3,1234567890123434,3,"Сидоров Сидор Сидорович"
